"id","instrial","latency_bin","binmedian_1","binmedian_2","npress_1","npress_2","nreward_1","nreward_2"
"069",9,"[3200,3600)",3402.02936697187,NA,2,0,1,0
"069",9,"[3600,4000)",3743.34889418606,NA,1,0,0,0
"069",9,"[4000,4400)",4276.5314196804,NA,2,0,0,0
"069",9,"[4800,5200)",5010.05065554273,NA,1,0,0,0
"069",9,"[5200,5600)",5334.45321811723,NA,2,0,0,0
"069",9,"[5600,6000]",5876.24089524616,NA,1,0,1,0
"069",10,"[ 400, 800)",NA,596.964971527996,0,3,0,2
"069",10,"[ 800,1200)",NA,1095.10114554451,0,2,0,0
"069",10,"[1200,1600)",NA,1419.78016156827,0,2,0,0
"069",10,"[1600,2000)",NA,1728.0204608669,0,2,0,0
"069",10,"[2000,2400)",NA,2186.13842537434,0,2,0,0
"069",10,"[2400,2800)",2678.18699510099,2461.11210435811,1,1,0,0
"069",10,"[2800,3200)",2977.52466560814,NA,2,0,0,0
"069",10,"[3200,3600)",3402.40862137489,NA,2,0,0,0
"069",10,"[3600,4000)",3810.70239041219,NA,2,0,1,0
"069",10,"[4000,4400)",4293.72665872143,NA,1,0,0,0
"069",10,"[4400,4800)",4551.99162362624,NA,2,0,1,0
"069",10,"[4800,5200)",4944.21036948916,NA,3,0,1,0
"069",10,"[5200,5600)",5476.81300490149,NA,2,0,0,0
"069",10,"[5600,6000]",5759.92484439303,NA,1,0,0,0
"069",11,"[   0, 400)",219.950337703267,NA,2,0,0,0
"069",11,"[ 400, 800)",586.498808104807,NA,2,0,1,0
"069",11,"[ 800,1200)",1094.67885048344,NA,2,0,1,0
"069",11,"[1200,1600)",1419.60783339982,NA,2,0,0,0
"069",11,"[1600,2000)",1794.46530260975,NA,3,0,0,0
"069",11,"[2000,2400)",2185.98281684626,NA,2,0,0,0
"069",11,"[2400,2800)",NA,2652.70493974276,0,2,0,0
"069",11,"[2800,3200)",NA,3043.9653688245,0,3,0,0
"069",11,"[3200,3600)",NA,3435.54827175194,0,2,0,1
"069",11,"[3600,4000)",NA,3761.47149384179,0,2,0,0
"069",11,"[4000,4400)",NA,4211.01724937034,0,2,0,0
"069",11,"[4400,4800)",NA,4543.68825321126,0,2,0,0
"069",11,"[4800,5200)",NA,4993.72069924539,0,3,0,1
"069",11,"[5200,5600)",NA,5384.85084756939,0,2,0,0
"069",11,"[5600,6000]",NA,5776.48589590717,0,3,0,2
"069",12,"[ 400, 800)",NA,604.915574096594,0,3,0,0
"069",12,"[ 800,1200)",NA,1046.02983048608,0,2,0,0
"069",12,"[1200,1600)",NA,1404.68514104032,0,1,0,0
"069",12,"[1600,2000)",NA,1604.62223546529,0,1,0,0
"069",12,"[2000,2400)",2154.1492848637,NA,2,0,1,0
"069",12,"[2400,2800)",2554.27691696423,NA,3,0,1,0
"069",12,"[2800,3200)",2978.87001721665,NA,2,0,0,0
"069",12,"[3200,3600)",3387.19854986084,NA,2,0,0,0
"069",12,"[3600,4000)",3654.02595682644,NA,1,0,0,0
"069",12,"[4000,4400)",4203.32505628357,NA,2,0,0,0
"069",12,"[4400,4800)",4570.11107800281,NA,2,0,1,0
"069",12,"[4800,5200)",4994.91971262159,NA,2,0,0,0
"069",12,"[5200,5600)",5369.54443120066,NA,2,0,0,0
"069",12,"[5600,6000]",5744.62819494147,NA,2,0,1,0
"069",13,"[   0, 400)",312.744669579843,NA,1,0,0,0
"069",13,"[ 400, 800)",595.968911401542,NA,2,0,0,0
"069",13,"[ 800,1200)",1012.48344590022,NA,3,0,0,0
"069",13,"[1200,1600)",1445.73582969042,NA,2,0,1,0
"069",13,"[1600,2000)",1846.04456363377,NA,3,0,0,0
"069",13,"[2000,2400)",2162.12918818746,NA,1,0,0,0
"069",13,"[2400,2800)",2495.32611574614,NA,1,0,0,0
"069",13,"[2800,3200)",NA,3095.60190703269,0,1,0,0
"069",13,"[3200,3600)",NA,3428.4687458603,0,3,0,0
"069",13,"[3600,4000)",NA,3836.69017348712,0,2,0,1
"069",13,"[4000,4400)",NA,4228.17739372294,0,3,0,0
"069",13,"[4400,4800)",NA,4619.67355317211,0,2,0,0
"069",13,"[4800,5200)",NA,4953.3482320212,0,2,0,1
"069",13,"[5200,5600)",NA,5411.44798702135,0,2,0,0
"069",13,"[5600,6000]",NA,5886.0664150443,0,2,0,0
"069",14,"[ 400, 800)",NA,581.058469077107,0,3,0,0
"069",14,"[ 800,1200)",NA,1039.33220765339,0,2,0,0
"069",14,"[1200,1600)",NA,1389.21103165103,0,2,0,1
"069",14,"[1600,2000)",NA,1780.76281287213,0,3,0,1
"069",14,"[2000,2400)",NA,2113.94119984107,0,1,0,0
"069",14,"[2400,2800)",NA,2580.49298106198,0,3,0,0
"069",14,"[2800,3200)",NA,3013.67947953804,0,2,0,0
"069",14,"[3200,3600)",NA,3371.87276519671,0,2,0,1
"069",14,"[3600,4000)",NA,3929.93676334117,0,1,0,0
"069",14,"[4000,4400)",NA,4246.46636207035,0,1,0,1
"069",14,"[4400,4800)",NA,4646.45411203674,0,3,0,1
"069",14,"[4800,5200)",NA,5046.57628128734,0,1,0,0
"069",14,"[5200,5600)",NA,5371.37730101949,0,2,0,0
"069",14,"[5600,6000]",NA,5813.14660309909,0,1,0,0
"069",15,"[ 400, 800)",NA,565.053966362029,0,3,0,1
"069",15,"[ 800,1200)",NA,998.613428684621,0,3,0,1
"069",15,"[1200,1600)",NA,1448.0724407349,0,3,0,1
"069",15,"[1600,2000)",NA,1798.03916699711,0,2,0,1
"069",15,"[2000,2400)",NA,2231.39385511786,0,2,0,0
"069",15,"[2400,2800)",NA,2581.06740828953,0,3,0,2
"069",15,"[2800,3200)",NA,3014.30671434173,0,3,0,0
"069",15,"[3200,3600)",NA,3430.79426565964,0,3,0,1
"069",15,"[3600,4000)",NA,3847.86683882885,0,1,0,0
"069",15,"[4000,4400)",NA,4163.89617269124,0,3,0,1
"069",15,"[4400,4800)",NA,4613.64587471871,0,3,0,0
"069",15,"[4800,5200)",NA,4913.61309760214,0,1,0,0
"069",15,"[5200,5600)",NA,5397.35134419243,0,3,0,0
"069",15,"[5600,6000]",NA,5863.21712355857,0,3,0,0
"17",1,"[ 800,1200)",1040.56998901069,NA,1,0,0,0
"17",1,"[1200,1600)",1407.69133996218,NA,3,0,0,0
"17",1,"[1600,2000)",1882.07975088153,NA,2,0,0,0
"17",1,"[2000,2400)",NA,2273.58073904179,0,1,0,0
"17",1,"[2400,2800)",NA,2590.55624902248,0,3,0,1
"17",1,"[2800,3200)",NA,3006.69743516483,0,2,0,0
"17",1,"[3200,3600)",NA,3390.2586074546,0,3,0,0
"17",1,"[3600,4000)",NA,3823.17201967817,0,2,0,0
"17",1,"[4000,4400)",4298.13286941499,4106.22564493679,2,1,0,0
"17",1,"[4400,4800)",4656.29997255746,NA,2,0,1,0
"17",1,"[4800,5200)",4989.43603690714,NA,2,0,0,0
"17",1,"[5200,5600)",5339.58452672232,NA,2,0,0,0
"17",1,"[5600,6000]",5772.40043575875,NA,3,0,0,0
"17",2,"[   0, 400)",382.014693459496,NA,1,0,0,0
"17",2,"[ 400, 800)",648.396409815177,NA,2,0,0,0
"17",2,"[ 800,1200)",1031.95460233837,NA,3,0,2,0
"17",2,"[1200,1600)",1481.28333583008,NA,2,0,0,0
"17",2,"[1600,2000)",1797.95491346158,NA,2,0,0,0
"17",2,"[2000,2400)",2214.24740366638,NA,3,0,0,0
"17",2,"[2400,2800)",2547.46077535674,2647.53096434288,1,1,0,0
"17",2,"[2800,3200)",NA,2997.39439366385,0,3,0,0
"17",2,"[3200,3600)",NA,3397.29970437474,0,2,0,0
"17",2,"[3600,4000)",3780.3503498435,3630.75608946383,1,1,0,0
"17",2,"[4000,4400)",4180.24639040232,NA,3,0,1,0
"17",2,"[4400,4800)",4588.54344289284,NA,2,0,1,0
"17",2,"[4800,5200)",4996.5739750769,NA,3,0,1,0
"17",2,"[5200,5600)",5421.62388563156,NA,2,0,1,0
"17",2,"[5600,6000]",5679.64547872543,NA,1,0,0,0
"17",3,"[ 400, 800)",583.541803993285,NA,2,0,0,0
"17",3,"[ 800,1200)",975.104042328894,NA,3,0,1,0
"17",3,"[1200,1600)",1341.72678552568,1491.60047806799,1,1,1,0
"17",3,"[1600,2000)",NA,1808.11975873075,0,3,0,0
"17",3,"[2000,2400)",NA,2241.24787701294,0,2,0,1
"17",3,"[2400,2800)",2558.28678898979,NA,2,0,0,0
"17",3,"[2800,3200)",2974.53524521552,NA,3,0,1,0
"17",3,"[3200,3600)",3382.62173021212,NA,2,0,0,0
"17",3,"[3600,4000)",3790.72841117159,NA,3,0,1,0
"17",3,"[4000,4400)",4190.63057680614,NA,2,0,0,0
"17",3,"[4400,4800)",4573.99293477648,NA,2,0,0,0
"17",3,"[4800,5200)",NA,4990.43805315159,0,3,0,1
"17",3,"[5200,5600)",NA,5382.18768325168,0,2,0,0
"17",3,"[5600,6000]",NA,5790.21854652092,0,3,0,0
"17",4,"[ 400, 800)",609.635446919128,NA,3,0,0,0
"17",4,"[ 800,1200)",1026.00607217755,NA,2,0,1,0
"17",4,"[1200,1600)",1350.76992865652,NA,2,0,0,0
"17",4,"[1600,2000)",1775.60728508979,NA,3,0,1,0
"17",4,"[2000,2400)",2242.09544400219,NA,2,0,1,0
"17",4,"[2400,2800)",2600.31287150924,NA,2,0,0,0
"17",4,"[2800,3200)",2950.17530734185,NA,2,0,0,0
"17",4,"[3200,3600)",3391.67662686668,NA,3,0,0,0
"17",4,"[3600,4000)",3833.20939878467,NA,2,0,0,0
"17",4,"[4000,4400)",NA,4174.75011677016,0,2,0,0
"17",4,"[4400,4800)",NA,4607.88104939274,0,3,0,0
"17",4,"[4800,5200)",NA,5007.79182300903,0,2,0,0
"17",4,"[5200,5600)",5591.23993106186,5365.98541261628,1,2,0,0
"17",4,"[5600,6000]",5866.03192950133,NA,2,0,1,0
"17",5,"[   0, 400)",255.942074116319,NA,1,0,0,0
"17",5,"[ 400, 800)",589.138229377568,NA,3,0,2,0
"17",5,"[ 800,1200)",1022.30227005202,NA,2,0,0,0
"17",5,"[1200,1600)",1363.82825498004,NA,2,0,0,0
"17",5,"[1600,2000)",1622.17910797335,NA,1,0,0,0
"17",5,"[2000,2400)",2188.53168934584,NA,3,0,0,0
"17",5,"[2400,2800)",2630.05916413386,NA,2,0,1,0
"17",5,"[2800,3200)",2963.34404929075,NA,2,0,1,0
"17",5,"[3200,3600)",3404.8344430048,NA,3,0,1,0
"17",5,"[3600,4000)",3838.02679099608,NA,2,0,1,0
"17",5,"[4000,4400)",4196.20995153673,NA,2,0,1,0
"17",5,"[4400,4800)",4571.35372341145,NA,2,0,1,0
